car_model,year_of_manufacture,price,fuel
ritz,2014,418050.0,Petrol
sx4,2013,592757.46,Diesel
ciaz,2017,904735.07,Petrol
wagon r,2011,355654.48,Petrol
swift,2014,574038.81,Diesel
vitara brezza,2018,1154317.16,Diesel
ciaz,2015,842339.55,Petrol
s cross,2015,811141.79,Diesel
ciaz,2016,1091921.64,Diesel
ciaz,2015,929693.28,Diesel
alto 800,2017,355654.48,Petrol
ciaz,2015,854818.66,Diesel
ciaz,2015,935932.84,Petrol
ertiga,2015,761225.37,Petrol
dzire,2009,280779.85,Petrol
ertiga,2016,967130.6,Diesel
ertiga,2015,904735.07,Diesel
ertiga,2016,967130.6,Diesel
wagon r,2015,405570.9,CNG
sx4,2010,330696.27,Petrol
alto k10,2016,355654.48,Petrol
ignis,2017,611476.12,Petrol
sx4,2011,549080.6,Petrol
alto k10,2014,311977.61,Petrol
wagon r,2013,361894.03,Petrol
swift,2011,374373.13,Petrol
swift,2013,517882.84,Petrol
swift,2017,748746.27,Petrol
alto k10,2010,243342.54,Petrol
ciaz,2015,929693.28,Diesel
ritz,2012,386852.24,Diesel
ritz,2011,293258.96,Petrol
swift,2014,617715.67,Diesel
ertiga,2014,748746.27,Diesel
dzire,2014,686350.75,Diesel
sx4,2011,368133.58,CNG
dzire,2015,580278.36,Petrol
800,2003,43676.87,Petrol
alto k10,2016,374373.13,Petrol
sx4,2003,280779.85,Petrol
baleno,2016,730027.61,Petrol
alto k10,2014,318217.16,Petrol
sx4,2008,243342.54,Petrol
dzire,2014,686350.75,Diesel
omni,2012,155988.81,Petrol
ciaz,2014,935932.84,Petrol
ritz,2013,330696.27,Petrol
wagon r,2006,131030.6,Petrol
ertiga,2015,723788.06,Petrol
ciaz,2017,967130.6,Petrol
fortuner,2012,1859386.57,Diesel
fortuner,2015,2870194.03,Diesel
innova,2017,2246238.81,Diesel
fortuner,2013,1996656.72,Diesel
innova,2005,343175.37,Petrol
corolla altis,2009,449247.76,Petrol
etios cross,2015,561559.7,Petrol
corolla altis,2010,592757.46,Petrol
etios g,2014,511643.28,Petrol
fortuner,2014,2494572.99,Diesel
corolla altis,2013,867297.76,Petrol
etios cross,2015,561559.7,Petrol
fortuner,2014,2339832.09,Diesel
fortuner,2015,2932589.55,Diesel
fortuner,2017,4118104.48,Diesel
etios liva,2014,592757.46,Diesel
innova,2017,2464623.13,Petrol
fortuner,2010,1154317.16,Diesel
corolla altis,2011,542841.04,Petrol
corolla altis,2016,1778272.39,Petrol
etios liva,2014,492924.63,Diesel
corolla altis,2011,561559.7,Diesel
corolla altis,2013,929693.28,Petrol
etios liva,2011,330696.27,Petrol
etios cross,2014,611476.12,Diesel
etios g,2015,492924.63,Petrol
corolla altis,2013,686350.75,Petrol
corolla,2004,187186.57,Petrol
corolla altis,2010,655152.99,Petrol
fortuner,2012,1809470.15,Diesel
corolla altis,2016,1838172.09,Diesel
etios gd,2015,592757.46,Diesel
innova,2017,2870194.03,Diesel
innova,2015,1559888.06,Diesel
innova,2005,435520.75,Diesel
camry,2006,311977.61,Petrol
land cruiser,2010,4367686.57,Diesel
corolla altis,2012,736267.16,Petrol
etios liva,2013,430529.1,Petrol
etios g,2014,592757.46,Petrol
